Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino
Cyprus,CYP,2021-02-12,43384,421,584,0,0,0,0,0
Cyprus,CYP,2021-02-19,51652,741,6126,0,0,0,0,0
Cyprus,CYP,2021-02-26,59380,951,18136,0,0,0,0,0
Cyprus,CYP,2021-03-05,69327,1301,28650,0,0,0,0,0
Cyprus,CYP,2021-03-12,78860,4195,40827,0,0,0,0,0
Cyprus,CYP,2021-03-19,85728,4304,41719,0,0,0,0,0
Cyprus,CYP,2021-03-26,95339,4304,48256,0,0,0,0,0
Cyprus,CYP,2021-04-02,103028,6547,52195,0,0,0,0,0
Cyprus,CYP,2021-04-09,113013,12456,60123,0,0,0,0,0
Cyprus,CYP,2021-04-16,130595,13236,66995,0,0,0,0,0
Cyprus,CYP,2021-04-23,150831,13236,77988,0,0,0,0,0
Cyprus,CYP,2021-04-30,193053,15635,84554,1188,0,0,0,0
Cyprus,CYP,2021-05-07,238781,21442,95843,2249,0,0,0,0
Cyprus,CYP,2021-05-14,280960,28322,121922,5662,0,0,0,0
Cyprus,CYP,2021-05-21,329189,37412,146980,5662,0,0,0,0
Cyprus,CYP,2021-05-28,375387,44461,164905,5662,0,0,0,0
Cyprus,CYP,2021-06-04,413040,48348,175900,5662,0,0,0,0
Cyprus,CYP,2021-06-11,448451,54602,187096,6062,0,0,0,0
Cyprus,CYP,2021-06-18,481629,63102,197068,12893,0,0,0,0
Cyprus,CYP,2021-06-25,502801,70093,204489,14120,0,0,0,0
Cyprus,CYP,2021-07-02,532405,72330,218282,14538,0,0,0,0
Cyprus,CYP,2021-07-09,562196,73098,237295,14983,0,0,0,0
Cyprus,CYP,2021-07-16,587728,74634,245037,16069,0,0,0,0
Cyprus,CYP,2021-07-23,610888,75705,248027,17238,0,0,0,0
Cyprus,CYP,2021-07-30,631778,77108,250656,17847,0,0,0,0
Cyprus,CYP,2021-08-06,660192,77977,251491,18319,0,0,0,0
Cyprus,CYP,2021-08-13,680681,79747,251776,18613,0,0,0,0
Cyprus,CYP,2021-08-20,697790,80930,251996,19195,0,0,0,0
